customer_id,customer_name,email,country,registration_date
C1000,Alexandra Carlson,alexandra.carlson@gmail.com,Chad,11/3/2021
C1001,Donna Evans,donna.evans@gmail.com,Afghanistan,8/26/2020
C1002,Kimberly Levy,kimberly.levy@outlook.com,monaco,6/27/2014
C1003,Jennifer Wells,jennifer.wells@yahoo.com,PARAGUAY,11/11/2024
C1004,Erin Garcia,erin.garcia@yahoo.com,Nicaragua,2/2/2024
C1005,Jonathon Hood,jonathon.hood@yahoo.com,Cambodia,2/27/2019
C1006,Jeffery Lam,,Togo,11/15/2016
C1007,Roberta Gardner,roberta.gardner@icloud.com,Colombia,4/14/2022
C1008,Ralph Dillon,ralph.dillon@gmail.com,india,10/4/2017
C1009,John Acevedo,john.acevedo@icloud.com,Benin,4/16/2024
C1010,Bobby Davis,bobby.davis@hotmail.com,Swaziland,5/28/2017
C1011,David Gordon,david.gordon@gmail.com,Canada,6/21/2013
C1012,Melanie Hansen,melanie.hansen@gmail.com,Costa Rica,6/5/2012
C1013,Sean Mills,sean.mills@gmail.com,Latvia,12/14/2024
C1014,Andrew Miller,andrew.miller@yahoo.com,Guinea-Bissau,10/22/2012
C1015,Joanna Schultz,joanna.schultz@yahoo.com,Ukraine,11/17/2023
C1016,Christina Hensley,christina.hensley@icloud.com,panama,3/14/2012
C1017,Tracey Pope,tracey.pope@icloud.com,Puerto Rico,9/2/2023
C1018,Evelyn Fuller,evelyn.fuller@gmail.com,KOREA,8/21/2014
C1019,Erin Bradley,erin.bradley@icloud.com,San Marino,2/24/2016
C1020,Heather Johnson,heather.johnson@yahoo.com,Rwanda,2/22/2019
C1021,Gina Clark,gina.clark@icloud.com,Yemen,12/5/2014
C1022,  Abigail Bailey  ,abigail.bailey@hotmail.com,TONGA,2/11/2012
C1023,Abigail Cisneros MD,abigail.cisneros.md@yahoo.com,British Indian Ocean Territory (Chagos Archipelago),6/13/2025
C1024,Jennifer Phillips,jennifer.phillips@hotmail.com,Fiji,4/3/2014
C1025,Kyle Watson,kyle.watson@icloud.com,Korea,1/19/2025
C1026,  Albert Morton  ,albert.morton@outlook.com,papua new guinea,6/14/2017
C1027,Douglas Sandoval,douglas.sandoval@gmail.com,Haiti,4/23/2020
C1028,Mrs. Jennifer Johnson,mrs..jennifer.johnson@yahoo.com,Austria,7/2/2020
C1029,Gabriela Medina,gabriela.medina@hotmail.com,Gibraltar,12/21/2018
C1030,Juan Mitchell,juan.mitchell@outlook.com,Indonesia,6/12/2025
C1031,  Aaron Miller  ,aaron.miller@outlook.com,French Guiana,6/28/2018
C1032,  Jennifer Shields  ,jennifer.shields@yahoo.com,Kyrgyz Republic,3/13/2024
C1033,Dennis Gardner,dennis.gardner@yahoo.com,Timor-Leste,11/5/2019
C1034,  Brenda Schultz  ,brenda.schultz@outlook.com,ROMANIA,6/15/2015
C1035,Holly Mcdowell,holly.mcdowell@gmail.com,Saint Barthelemy,11/10/2015
